Sample_User_Query,User_Energy_States,User_Problem_Category,User_Cognitive_Energy_Levels
I feel so overwhelmed and can't focus.,Emotional State,Anxiety / Stress,Medium Cognitive Energy
I have a big project due but I can't start.,Cognitive State,Procrastination,Medium Cognitive Energy
I had a fight with my partner and feel awful.,Situational,Conflict,Medium Cognitive Energy
I just feel sad and have no energy.,Emotional State,Low Mood,Low Cognitive Energy
My mind is racing and I can't focus on one thing.,Cognitive State,Lack of Focus,Medium Cognitive Energy
"My brain feels like mush, I can't think at all.",Emotional State,Overwhelm / Burnout,Low Cognitive Energy
"I'm just staring at my screen, nothing is getting done",Behavioral State,Task Paralysis,Low Cognitive Energy
"I don't even care what to do, just tell me.",Cognitive State,Decision Fatigue / Apathy,Low Cognitive Energy
"My head feels fuzzy and overstimulated, I need quiet.",Situational,Sensory Overload (internal),Low Cognitive Energy
"Everything is annoying me, I just want to be left alone",Emotional State,Irritability / Frustration (low tolerance),Low Cognitive Energy
"I haven't even eaten or gotten dressed today, I'm stuck",Behavioral State,Basic Self-Care Lapse,Low Cognitive Energy
Even making a cup of tea feels like too much effort.,Cognitive State,Simple Task Overwhelm,Low Cognitive Energy
"I just feel... flat. No emotions, no motivation.",Emotional State,Listlessness,Low Cognitive Energy
"It's a free day and I don't know what to do, feeling lost.",Situational,Unstructured Time Overwhelm,Low Cognitive Energy
I'm just going to go back to sleep and ignore everything.,Behavioral State,Avoidance (extreme),Low Cognitive Energy
"I keep getting distracted from my work, jumping between tabs.",Cognitive State,Mild Procrastination,Medium Cognitive Energy
I'm just feeling generally stressed about my to-do list.,Emotional State,General Stress / Annoyance,Medium Cognitive Energy
"My morning routine feels off, I need to get back on track.",Behavioral State,Routine Adjustment,Medium Cognitive Energy
"I need to pick a new project to start, but there are too many options.",Cognitive State,Minor Decision Making,Medium Cognitive Energy
"This background noise is a bit annoying, hard to concentrate.",Situational,Mild Sensory Discomfort,Medium Cognitive Energy
"I just don't feel like doing anything productive, but I should.",Emotional State,Lack of Motivation,Medium Cognitive Energy
I need to tell my friend something important but I'm nervous how they'll react.,Behavioral State,Communication Challenges,Medium Cognitive Energy
"I'm researching, but there's just so much information, I feel stuck.",Cognitive State,Information Overload,Medium Cognitive Energy
"I'm so bored, I need something to do but nothing sounds good.",Emotional State,Boredom,Medium Cognitive Energy
I have a work event tonight and I'm already feeling tired thinking about it.,Situational,Pre-Social Event Jitters,Medium Cognitive Energy
"I'm hyperfocused on this, how do I make sure I don't lose track of time?",Cognitive State,Intense Focus / Hyperfocus,High Cognitive Energy
"I want to maximize my productivity today, what's the best way?",Behavioral State,Optimizing Productivity,High Cognitive Energy
"I'm so excited about this project, how can I sustain this energy?",Emotional State,Highly Motivated / Excited,High Cognitive Energy
"I have a really complex problem at work, how can I approach it systematically?",Cognitive State,Complex Problem Solving,High Cognitive Energy
"I feel great today, I want to connect with friends more effectively.",Situational,Social Engagement (desired),High Cognitive Energy
"I'm ready to learn a new complex skill, where should I start?",Behavioral State,Skill Development,High Cognitive Energy
My mind is buzzing with ideas but I can't organize them into a cohesive plan.,Cognitive State,Creative Block (high capacity),High Cognitive Energy
"I'm feeling very alert and aware, how can I channel this into something productive?",Emotional State,High Alertness / Sensory Awareness,High Cognitive Energy
"I'm in a new environment, how can I adapt quickly and stay focused?",Situational,New Environment / Adaptation,High Cognitive Energy
"I'm ready to set some ambitious long-term goals, how do I make them achievable?",Behavioral State,Long-Term Goal Setting,High Cognitive Energy
How can I maintain this deep focus for a longer period?,Cognitive State,Sustained Focus,High Cognitive Energy
I feel capable and ready to tackle anything today.,Emotional State,Confidence / Self-Efficacy,High Cognitive Energy
"My evening routine could be more efficient, any tips?",Behavioral State,Routine Optimization,High Cognitive Energy
"I have a big presentation, how do I stay sharp under pressure?",Situational,Performance Pressure,High Cognitive Energy
"My mind is buzzing with ideas, how do I capture them effectively?",Cognitive State,Idea Generation,High Cognitive Energy
I'm a little bit restless and can't quite settle down.,Emotional State,Mild Anxiety / Unease,Medium Cognitive Energy
"I need to do that boring paperwork, how can I make myself start?",Behavioral State,Initiating Undesired Tasks,Medium Cognitive Energy
"My to-do list is huge, what should I tackle first?",Cognitive State,Task Prioritization,Medium Cognitive Energy
"I keep getting interrupted, I can't get anything done.",Situational,Interruptions / Distractions,Medium Cognitive Energy
"I just can't bring myself to care anymore, I feel numb.",Emotional State,Resignation / Apathy,Low Cognitive Energy
I barely slept last night and feel completely off.,Behavioral State,Disrupted Sleep Cycle,Low Cognitive Energy
