Self_Regulation_Technique_Name,Time_Required (min),Self_Regulation_Category,Description,Instructions,
Box Breathing,2,Breathing Technique,A simple technique to calm the nervous system by controlling your breath.,1. Inhale for 4s. <br>2. Hold for 4s. <br>3. Exhale for 4s. <br>4. Hold for 4s. Repeat 5-10 times.,
5-4-3-2-1 Grounding,3,Mindfulness,Engages all five senses to bring your focus back to the present moment.,"Name 5 things you see, 4 things you feel, 3 things you hear, 2 things you smell, 1 thing you taste.",
The 5-Minute Rule,5,Behavioral Activation,A technique to overcome procrastination by committing to just five minutes of a task.,"Set a timer for 5 minutes and start the task. You can stop when it rings, but you'll often keep going.",
Task Chunking,10,Productivity,"Breaking a large, overwhelming project down into small, manageable steps.","List all the steps for your project. Focus on completing only the first, smallest step.",
"""I Feel"" Statements",1,Communication,A non-confrontational way to express your feelings during a conflict.,"Structure your sentence as: ""I feel [emotion] when [behavior] because [reason].""",
Behavioral Activation,5-15,Mood Regulation,"Engaging in a small, positive, or rewarding activity to counter low mood and inertia.","Choose one small activity you usually enjoy (e.g., listen to a song, walk outside) and do it.",
Brain Dump,10,Cognitive Management,"Writing down all thoughts, tasks, and worries to clear your mind.",Take a piece of paper and write down everything on your mind for 10 minutes without judgment.,
Progressive Muscle Relaxation,10-15,Body Scan,A technique to reduce tension by tensing and then relaxing different muscle groups in the body.,"Systematically tense one muscle group (e.g., fists) for 5s, then completely relax for 10s. Move to the next group.",
Mindful Listening,5,Mindfulness,Focusing completely on sounds around you or on a specific piece of music to enhance present moment awareness.,"Close your eyes and pay attention to all sounds, without judgment. Alternatively, listen to a song and notice every instrument and nuance.",
The Pomodoro Technique,30,Productivity,"A time management method that uses a timer to break down work into focused intervals, traditionally 25 minutes in length, separated by short breaks.","1. Set a timer for 25 min and work on a single task. 2. When the timer rings, take a 5 min break. 3. After 4 ""pomodoros,"" take a longer 15-30 min break.",
Gratitude Journaling,5,Mood Regulation,Regularly writing down things you are grateful for to foster a positive outlook.,Write down 3-5 things you are genuinely grateful for each day. Be specific about why.,
Visualization,5,Cognitive Management,Creating mental images to rehearse desired outcomes or calm the mind.,"Close your eyes and vividly imagine a peaceful scene, or successfully completing a challenging task, focusing on all sensory details.",
Temperature Change,5,Physiological Regulation,Using cold or heat to quickly shift physiological states and interrupt intense emotions.,"Splash cold water on your face, hold an ice pack, or drink a warm beverage slowly.",
Affirmations,1,Cognitive Restructuring,Positive statements repeated to challenge negative thoughts and promote self-belief.,"Choose a positive statement (e.g., ""I am capable and strong"") and repeat it to yourself daily, especially when facing challenges.",
Scheduled Worry Time,15,Cognitive Management,"Designating a specific, limited time each day to address worries, rather than letting them intrude throughout the day.","Choose a 15-minute slot each day. If a worry arises outside this time, make a note and defer it to your ""worry time.""",
Sensory soothing kit,Variable,Emotional Regulation,Assembling a collection of items that engage your senses in a comforting way to help regulate intense emotions.,"Prepare a small kit with items like a scented oil, a smooth stone, a soft fabric, or a comforting photo. Use when feeling overwhelmed.",
Body Scan Meditation,10-20,Mindfulness,A practice of bringing awareness to different parts of the body to notice sensations and release tension.,"Lie down and systematically bring your attention to each part of your body, noticing any sensations without judgment.",
Square Breathing,2,Breathing Technique,"Similar to box breathing, this technique involves inhaling, holding, exhaling, and holding for equal counts to regulate the nervous system.",1. Inhale slowly for 4 counts. 2. Hold your breath for 4 counts. 3. Exhale slowly for 4 counts. 4. Hold your breath for 4 counts. Repeat several cycles.,
Thought Challenging,5-10,Cognitive Restructuring,Identifying and evaluating unhelpful or irrational thoughts by looking for evidence for and against them.,"When you have a negative thought, ask: ""What's the evidence for this thought? What's the evidence against it? Is there another way to look at this?""",
Anchoring,5,Emotional Regulation,Creating a strong association between a specific physical touch or gesture and a positive emotional state.,"Recall a strong positive memory. As you feel the emotion, squeeze your thumb and forefinger together. Repeat several times. Later, use the squeeze to evoke the feeling.",
"The ""Urge Surfing"" Technique",5-15,Emotional Regulation,A mindfulness-based strategy for riding out intense urges or emotions without acting on them.,"When an urge arises, notice it like a wave – observe its beginning, peak, and eventual decrease, without judgment or action.",
Habit Stacking,1,Productivity,"Attaching a new desired habit to an existing, established habit to make it easier to remember and perform.","Identify an existing daily habit (e.g., brushing teeth). After it, immediately perform your new desired habit (e.g., 2 minutes of stretching).",
Time Blocking,5-10,Productivity,Scheduling specific blocks of time for certain tasks or activities in your calendar.,"Allocate specific time slots in your daily or weekly calendar for focused work, breaks, exercise, or other important activities.",
Single-Tasking,Variable,Productivity,"Focusing on one task at a time, rather than multitasking, to improve concentration and reduce errors.",Close all unnecessary tabs and distractions. Dedicate your full attention to one task until it's complete or you take a planned break.,
Affirmative Journaling,5-10,Cognitive Restructuring,"Writing about positive experiences, personal strengths, and successes to reinforce self-efficacy and positive beliefs.","Write about a recent success, a personal strength you utilized, or a positive experience, focusing on the details and your feelings.",
